formula,ehull,hform,gap_pbe,magnetic,layergroup,uid,gap_gw,gap_dir_gw,E_B,gap_dir_pbe
BiSeBr,0.111,-0.471,1.020,No,p3m1,BiBrSe-11db0908d9ef,2.351,2.544,0.850,1.244
BiTeBr,0.000,-0.504,0.591,No,p3m1,BiBrTe-304bc6a92d82,1.690,1.697,0.491,0.622
BiTeBr,0.117,-0.387,0.529,No,p3m1,BiBrTe-f4f45fcade85,1.632,1.632,0.457,0.529
Pb2S2,0.054,-0.514,1.162,No,p4/nmm,Pb2S2-d4ed2cd9ee0c,2.225,2.226,0.571,1.163
BiSCl,0.130,-0.538,1.430,No,p3m1,BiClS-99fd027b1d0b,2.980,3.206,0.918,1.688
Pb2S2,0.325,-0.243,0.170,No,p4/nmm,Pb2S2-63439e4f4178,,,0.637,0.854
Pb2S2,0.408,-0.160,0.422,No,p4/mmm,Pb2S2-5995ac9fd69f,,,0.233,0.437
BiTeCl,0.010,-0.598,0.599,No,p3m1,BiClTe-968a6902b7f5,1.736,1.736,0.464,0.599
BiTeCl,0.139,-0.468,0.531,No,p3m1,BiClTe-badda86cab42,1.676,1.676,0.464,0.531
Pb2Se2,0.072,-0.510,0.789,No,p4/nmm,Pb2Se2-f615d3b872f4,1.623,1.626,0.541,0.792
BiSeCl,0.000,-0.681,0.851,No,p3m1,BiClSe-a80866a2c6b4,2.202,2.370,0.731,0.959
BiSCl,0.010,-0.658,1.002,No,p3m1,BiClS-c96ef4fc869c,2.527,2.679,0.788,1.178
Pb2Se2,0.415,-0.167,0.478,No,p4/mmm,Pb2Se2-10f26d33197a,,,0.269,0.512
BiSeCl,0.119,-0.561,1.235,No,p3m1,BiClSe-7fe9c5cb910c,2.612,2.708,0.897,1.340
Pb2Te2,0.075,-0.346,0.445,No,p4/nmm,Pb2Te2-fdc4a7cc1d0d,1.246,1.246,0.442,0.446
Pb2Te2,0.260,-0.161,0.050,No,p4/nmm,Pb2Te2-538c4ff6b6b4,,,0.717,0.467
Pb2Te2,0.429,0.008,0.271,No,p4/mmm,Pb2Te2-dd0dba21843d,,,0.322,0.411
BiSI,0.014,-0.412,0.777,No,p3m1,BiIS-acdcd16c0d76,2.042,2.175,0.581,0.827
BiSI,0.140,-0.287,0.401,No,p3m1,BiIS-40034665f9f1,1.733,1.738,0.504,0.435
BiSeI,0.000,-0.443,0.607,No,p3m1,BiISe-70cbc0e44d36,1.772,1.888,0.674,0.771
BiSeI,0.114,-0.328,0.433,No,p3m1,BiISe-433f707c632c,1.687,1.687,0.504,0.471
BiTeI,0.003,-0.371,0.412,No,p3m1,BiITe-2d41b3dd1772,1.419,1.563,0.495,0.549
BiTeI,0.113,-0.261,0.346,No,p3m1,BiITe-a84d988e38ac,1.402,1.402,0.468,0.349
HfBrCl,0.018,-1.337,0.832,No,p3m1,BrClHf-72257f9ad66d,1.926,2.718,0.845,1.632
TiBrCl,0.035,-1.326,0.830,No,p3m1,BrClTi-d3f135b9cf41,1.473,1.651,0.687,1.046
VBrCl,0.011,-1.009,1.289,Yes,p3m1,BrClV-878148656c6a,,,3.585,1.342
ZrBrCl,0.010,-1.512,0.912,No,p3m1,BrClZr-8cb69386d06b,1.878,2.446,0.873,1.523
Rh2Se2,0.164,-0.164,0.101,No,p-6m2,Rh2Se2-1a46a7cf8fab,0.310,0.310,0.321,0.574
HfIBr,0.089,-0.887,0.713,No,p3m1,BrHfI-836a1091409d,1.612,2.304,0.700,1.424
TiIBr,0.073,-0.877,0.679,No,p3m1,BrITi-233dbbf8f473,1.198,1.209,0.498,0.753
VIBr,0.020,-0.657,1.188,Yes,p3m1,BrIV-2da05db34435,,,2.937,1.231
Sc2S2,0.627,-1.273,0.414,No,p-6m2,S2Sc2-e9d256b367c7,1.004,1.069,0.397,0.418
ZrIBr,0.039,-1.086,0.774,No,p3m1,BrIZr-28c61999c692,1.590,2.183,0.760,1.399
Si2S2,0.446,-0.056,1.417,No,pm2_1n,S2Si2-0726c763a59a,2.884,3.039,0.909,1.549
Sn2S2,0.043,-0.415,1.414,No,pm2_1n,S2Sn2-7a8373382b33,2.503,2.665,0.589,1.587
Sn2S2,0.433,-0.025,0.067,No,p4/mmm,S2Sn2-b8e2ee0faa87,,,0.343,0.121
SbSBr,0.054,-0.415,1.217,No,p3m1,BrSSb-4da5c6be60db,2.419,2.812,0.882,1.647
SbSBr,0.183,-0.287,1.426,No,p3m1,BrSSb-4ae37f15e1fe,2.607,3.118,1.059,1.946
SbSeBr,0.000,-0.444,1.069,No,p3m1,BrSbSe-89b15ddef41d,2.164,2.522,0.762,1.413
SbSeBr,0.124,-0.320,1.464,No,p3m1,BrSbSe-c2a344b393f0,2.572,2.903,0.905,1.786
SbTeBr,0.000,-0.377,1.052,No,p3m1,BrSbTe-18e62ba75259,2.070,2.402,0.553,1.351
SbTeBr,0.130,-0.247,1.319,No,p3m1,BrSbTe-f1e78a09001d,2.253,2.460,0.574,1.469
Tl2S2,0.119,-0.145,0.673,No,p-6m2,S2Tl2-751e767bff79,1.644,1.719,0.726,0.749
V2S2,0.534,-0.428,0.214,No,p-6m2,S2V2-605c732d5111,0.366,0.366,0.393,0.326
HfICl,0.140,-1.032,0.814,No,p3m1,ClHfI-d3756ea15451,1.783,2.419,0.739,1.460
TiICl,0.118,-1.015,0.745,No,p3m1,ClITi-ae06e7424bb1,1.383,1.557,0.562,0.842
VICl,0.057,-0.775,1.100,Yes,p3m1,ClIV-9f3e8b6323b9,,,3.140,1.141
ZrICl,0.080,-1.228,0.877,No,p3m1,ClIZr-73202b4b7837,1.744,2.271,0.800,1.433
Sc2Se2,0.548,-1.049,0.400,No,p-6m2,Sc2Se2-9fb15588e4d4,0.851,1.021,0.400,0.409
Sc2Te2,0.614,-0.565,0.291,No,p-6m2,Sc2Te2-c3cac8e74dc1,0.556,0.805,0.413,0.346
Si2Se2,0.402,0.064,1.195,No,pm2_1n,Se2Si2-aa0e94e8944e,2.438,2.755,0.806,1.523
Sn2Se2,0.043,-0.389,0.923,No,pm2_1n,Se2Sn2-95443c1cf2fb,1.629,1.643,0.444,0.987
SbSCl,0.037,-0.511,1.316,No,p3m1,ClSSb-9188c300265c,2.643,3.028,0.964,1.707
SbSCl,0.169,-0.379,1.669,No,p3m1,ClSSb-0495f35048b5,2.948,3.345,1.252,2.107
Sn2Se2,0.407,-0.025,0.084,No,p4/mmm,Se2Sn2-5236d993e815,,,0.305,0.149
SbSeCl,0.004,-0.537,1.172,No,p3m1,ClSbSe-0c0fbdaf8f4a,2.404,2.778,0.791,1.507
SbSeCl,0.136,-0.405,1.674,No,p3m1,ClSbSe-f705a30af945,2.856,3.169,1.094,1.994
SbTeCl,0.000,-0.466,1.255,No,p3m1,ClSbTe-da5fd2bb47af,2.382,2.570,0.569,1.482
SbTeCl,0.145,-0.322,1.394,No,p3m1,ClSbTe-04fdd7d1ec5c,2.350,2.582,0.566,1.545
CrSeS,0.010,-0.569,0.782,No,p3m1,CrSSe-09e1e5ef94cb,1.294,1.294,0.508,0.782
Tl2Se2,0.076,-0.196,0.494,No,p-6m2,Se2Tl2-625697b299d1,1.322,1.374,0.545,0.549
CrTeS,0.161,-0.318,0.261,No,p3m1,CrSTe-8a0864d30ce1,0.697,1.006,0.481,0.666
CrTeSe,0.111,-0.270,0.572,No,p3m1,CrSeTe-5d9d3ded04de,0.974,0.974,0.448,0.572
V2Se2,0.420,-0.218,0.257,No,p-6m2,Se2V2-9cf30bd127fe,0.572,0.617,0.510,0.379
Zr2Se2,0.484,-0.726,0.059,No,p-6m2,Se2Zr2-f89b20d72c95,,,0.433,0.562
Si2Te2,0.289,0.251,0.388,No,pm2_1n,Si2Te2-0864146ccb4e,0.772,0.992,0.484,0.518
Sn2Te2,0.063,-0.215,0.603,No,pm2_1n,Sn2Te2-03bcf7dcdaf2,1.009,1.032,0.352,0.628
Sn2Te2,0.435,0.157,0.028,No,p4/mmm,Sn2Te2-f781c3e79c56,,,0.284,0.031
HfSeS,0.003,-1.471,0.684,No,p3m1,HfSSe-63618e5bf062,2.175,2.596,0.482,1.421
Ti2Te2,0.610,-0.097,0.217,No,p-6m2,Te2Ti2-b43c14735d8e,0.411,0.464,0.348,0.383
HfSeS,0.196,-1.278,0.887,No,p3m1,HfSSe-9afb20358166,2.175,2.596,1.021,1.167
Tl2Te2,0.137,-0.089,0.339,No,p-6m2,Te2Tl2-73117163f0e2,,,0.367,0.380
HfTeSe,0.149,-0.941,0.142,No,p3m1,HfSeTe-305c779b8752,0.738,1.457,0.486,0.649
V2Te2,0.490,0.185,0.224,No,p-6m2,Te2V2-5da53e6996e3,0.547,0.624,0.535,0.347
SbSI,0.058,-0.278,1.219,No,p3m1,ISSb-5b94060698bc,2.260,2.457,0.752,1.485
SbSI,0.202,-0.135,0.794,No,p3m1,ISSb-4c49d27e66e5,1.809,2.242,0.424,1.168
SbSeI,0.019,-0.312,1.012,No,p3m1,ISbSe-df0019ec24b5,1.994,2.207,0.645,1.262
SbSeI,0.149,-0.183,1.007,No,p3m1,ISbSe-343d2125478e,1.968,2.179,0.473,1.168
SbTeI,0.000,-0.250,0.838,No,p3m1,ISbTe-0f02957b17cf,1.676,1.941,0.494,1.089
SbTeI,0.123,-0.128,1.011,No,p3m1,ISbTe-052a3116531d,1.778,1.917,0.386,1.016
Zr2Te2,0.624,-0.297,0.452,No,p-6m2,Te2Zr2-8912432cb37b,0.738,0.823,0.360,0.549
MoSeS,0.009,-0.805,1.453,No,p3m1,MoSSe-de7ac5fc6945,2.328,2.361,0.527,1.453
MoTeS,0.065,-0.546,0.992,No,p3m1,MoSTe-e4bb8738150a,1.988,2.055,0.509,1.274
MoTeS,0.223,-0.388,0.204,No,p3m1,MoSTe-2ea941c8bc3c,,,0.311,0.366
MoTeSe,0.025,-0.479,1.136,No,p3m1,MoSeTe-42eb12e7b656,1.844,1.882,0.475,1.136
TiSeS,0.128,-1.096,0.505,No,p3m1,SSeTi-358305cad463,1.333,2.139,0.690,0.905
WSeS,0.010,-0.724,1.402,No,p3m1,SSeW-001e03f2c095,2.314,2.326,0.507,1.402
ZrSeS,0.000,-1.478,0.613,No,p3m1,SSeZr-1a9901838600,2.206,2.584,0.443,1.136
ZrSeS,0.163,-1.315,0.829,No,p3m1,SSeZr-2be14f373da0,2.206,2.584,0.977,1.072
WTeS,0.086,-0.419,1.141,No,p3m1,STeW-75ee10091f43,2.065,2.065,0.502,1.263
WTeS,0.266,-0.238,0.202,No,p3m1,STeW-916afba26723,,,0.304,0.364
ZrTeS,0.122,-1.120,0.208,No,p3m1,STeZr-3f3c7bc0ce7d,0.735,1.429,0.472,0.641
VTeSe,0.013,-0.502,0.120,Yes,p3m1,SeTeV-716e51e45afe,,,0.462,0.597
WTeSe,0.042,-0.324,1.037,No,p3m1,SeTeW-6e2a4c6f4f57,1.800,1.800,0.455,1.037
ZrTeSe,0.115,-1.017,0.262,No,p3m1,SeTeZr-dd69b684c867,0.895,1.495,0.471,0.632
BaBr2,0.056,-2.210,4.902,No,p-3m1,BaBr2-74dc20d8f1ff,,,1.850,4.920
BaBr2,0.167,-2.099,4.157,No,p-6m2,BaBr2-1a59eff92917,7.284,7.307,2.239,4.211
BaCl2,0.108,-2.503,5.618,No,p-3m1,BaCl2-00a09165a480,9.207,9.261,2.236,5.686
BaCl2,0.241,-2.370,4.747,No,p-6m2,BaCl2-54ec344f88a7,8.184,8.205,2.588,4.781
BaI2,0.021,-1.816,3.873,No,p-3m1,BaI2-080cc67ae6c9,,,1.556,4.082
BaI2,0.105,-1.732,3.332,No,p-6m2,BaI2-c4707a226b8f,,,1.724,3.397
CaBr2,0.000,-2.094,4.863,No,p-3m1,CaBr2-819000a41305,8.458,8.458,1.980,5.083
CaBr2,0.129,-1.965,4.128,No,p-6m2,CaBr2-fbb623b6f288,7.587,7.587,2.172,4.157
CaCl2,0.010,-2.421,5.784,No,p-3m1,CaCl2-643810e6bb76,9.883,9.961,2.563,6.015
CaCl2,0.164,-2.267,4.771,No,p-6m2,CaCl2-3ca106221b9b,8.830,8.925,2.603,4.771
CaI2,0.000,-1.666,3.537,No,p-3m1,CaI2-ee886d522d75,6.920,7.189,1.514,4.111
CaI2,0.108,-1.559,2.946,No,p-6m2,CaI2-066f40f26c53,5.912,6.173,1.593,3.281
CdBr2,0.000,-0.903,3.069,No,p-3m1,CdBr2-5acf0d634aa9,5.484,5.484,1.282,3.069
CdBr2,0.121,-0.782,2.369,No,p-6m2,CdBr2-a7bb757c6234,4.648,4.648,1.123,2.369
CdCl2,0.000,-1.117,3.868,No,p-3m1,CdCl2-3861891e1b05,6.723,6.723,1.718,3.868
CdCl2,0.130,-0.988,3.098,No,p-6m2,CdCl2-46c028e03e8b,5.816,5.816,1.618,3.129
CdI2,0.030,-0.600,2.136,No,p-3m1,CdI2-b474b300c0f6,4.037,4.332,1.135,2.409
CdI2,0.159,-0.471,1.490,No,p-6m2,CdI2-66c5fba8ad87,3.331,3.445,0.873,1.678
CoBr2,0.023,-0.338,0.348,Yes,p-3m1,CoBr2-02049cf3cf55,1.401,1.504,2.211,0.389
CoCl2,0.021,-0.603,0.351,Yes,p-3m1,CoCl2-cb7655063dfe,,,2.383,0.354
CrO2,0.168,-1.693,0.416,No,p-6m2,CrO2-2433700165bb,1.230,2.217,0.776,1.514
CrS2,0.000,-0.673,0.877,No,p-6m2,CrS2-c5ee5e35d2b4,1.448,1.448,0.534,0.877
CrSe2,0.000,-0.486,0.685,No,p-6m2,CrSe2-9a6ff6a3c41a,1.165,1.165,0.479,0.685
CrTe2,0.108,-0.106,0.453,No,p-6m2,CrTe2-c31911a1b3f9,0.812,0.812,0.433,0.453
FeBr2,0.081,-0.383,0.263,Yes,p-6m2,FeBr2-8a7a18d48fc2,0.759,0.759,0.505,0.263
FeCl2,0.067,-0.674,0.351,Yes,p-6m2,FeCl2-a0004cbce0c5,0.921,0.991,0.584,0.351
FeI2,0.112,-0.008,0.144,Yes,p-6m2,FeI2-958162d78580,,,0.397,0.144
GeBr2,0.000,-0.608,2.301,No,p-3m1,GeBr2-a64179cfe007,4.130,4.632,1.338,2.793
GeBr2,0.112,-0.496,2.536,No,p-6m2,GeBr2-36a198743d35,4.288,4.516,1.455,2.784
GeCl2,0.118,-0.675,2.955,No,p-6m2,GeCl2-a7216f084785,4.930,5.081,1.832,3.059
GeI2,0.003,-0.360,1.954,No,p-3m1,GeI2-24970c2cdc0f,3.348,3.764,0.916,2.359
GeO2,0.078,-1.570,3.641,No,p-3m1,GeO2-630e9718ed1f,7.023,7.508,1.972,4.103
